city,temperature_c,humidity_percent,wind_speed_kmh,rainfall_mm,cloud_cover_percent,condition,play_cricket
Ahmedabad,43.6,68,25.3,1.3,21,Sunny,No
Lucknow,20.1,60,7.2,2.2,66,Cloudy,Yes
Lucknow,36.3,77,30.5,0.0,95,Overcast,No
Delhi,30.6,94,13.7,3.6,72,Cloudy,No
Chennai,27.7,80,22.0,4.0,71,Cloudy,No
Jaipur,37.4,68,9.9,1.7,67,Cloudy,No
Kolkata,27.6,61,7.3,1.4,53,Cloudy,Yes
Lucknow,20.2,80,28.8,0.0,25,Sunny,Yes
Bengaluru,32.6,61,12.9,3.6,44,Cloudy,No
Lucknow,33.6,62,26.2,1.9,95,Overcast,No
Pune,24.2,93,14.6,4.0,63,Cloudy,No
Pune,28.9,93,17.4,4.1,72,Cloudy,No
Lucknow,23.3,61,12.8,1.0,83,Overcast,Yes
Lucknow,40.4,59,28.8,4.4,72,Cloudy,No
Ahmedabad,28.0,56,18.1,1.1,100,Overcast,No
Kolkata,41.2,53,23.2,1.3,74,Cloudy,No
Pune,31.0,34,8.0,1.4,19,Sunny,Yes
Delhi,18.8,32,16.9,5.0,84,Rainy,No
Mumbai,33.8,42,6.8,4.0,70,Cloudy,No
Ahmedabad,19.1,38,14.2,1.8,89,Overcast,No
Mumbai,34.2,93,20.0,3.0,64,Cloudy,No
Ahmedabad,21.2,74,23.4,0.1,66,Cloudy,Yes
Chennai,25.7,51,5.5,0.5,63,Cloudy,Yes
Pune,40.7,44,9.1,0.0,45,Cloudy,Yes
Bengaluru,21.8,96,17.5,2.2,84,Overcast,No
Lucknow,25.4,85,13.8,0.0,9,Sunny,Yes
Delhi,22.5,90,11.9,2.2,57,Cloudy,No
Jaipur,34.0,56,29.2,2.8,58,Cloudy,No
Lucknow,32.6,68,23.7,0.0,7,Sunny,Yes
Bengaluru,36.6,39,9.6,4.4,84,Overcast,No
Ahmedabad,27.9,46,13.4,0.0,27,Sunny,Yes
Lucknow,32.2,98,19.9,3.8,50,Cloudy,No
Lucknow,39.4,51,8.3,0.1,42,Cloudy,Yes
Chennai,29.7,60,18.8,0.5,56,Cloudy,Yes
Jaipur,33.6,65,18.0,2.6,84,Overcast,Yes
Ahmedabad,33.3,47,13.7,1.4,56,Cloudy,Yes
Ahmedabad,34.0,45,24.0,0.3,70,Cloudy,Yes
Lucknow,39.0,73,6.9,0.0,59,Cloudy,Yes
Lucknow,34.5,97,12.0,1.3,91,Overcast,No
Chennai,27.1,57,13.2,0.0,53,Cloudy,Yes
Mumbai,30.7,68,6.8,0.8,84,Overcast,Yes
Mumbai,17.8,94,16.7,1.4,42,Cloudy,No
Bengaluru,27.2,37,19.5,0.1,45,Cloudy,Yes
Hyderabad,28.4,48,24.6,1.3,52,Cloudy,No
Lucknow,21.2,88,22.8,0.0,53,Cloudy,No
Jaipur,36.7,98,23.1,0.0,53,Cloudy,No
Chennai,30.0,91,18.0,2.3,44,Cloudy,No
Delhi,19.2,62,8.6,3.8,29,Sunny,No
Pune,34.3,32,14.8,0.0,50,Cloudy,Yes
Kolkata,36.6,70,16.5,7.9,69,Rainy,No
Ahmedabad,33.9,48,21.9,7.3,71,Rainy,No
Delhi,37.7,77,18.0,0.0,48,Cloudy,Yes
Kolkata,19.9,91,13.1,0.0,20,Sunny,No
Pune,22.6,54,8.3,0.0,33,Sunny,Yes
Jaipur,38.8,55,7.8,1.2,51,Cloudy,No
Delhi,17.5,63,12.8,0.0,32,Sunny,Yes
Kolkata,29.1,74,15.6,4.5,77,Overcast,No
Hyderabad,38.2,52,16.5,0.5,44,Cloudy,Yes
Bengaluru,31.5,69,14.9,2.2,42,Cloudy,Yes
Bengaluru,28.8,38,14.9,0.8,44,Cloudy,Yes
Bengaluru,38.2,57,3.9,2.1,47,Cloudy,No
Bengaluru,37.5,83,9.8,0.0,43,Cloudy,No
Chennai,39.1,88,30.4,0.2,42,Cloudy,No
Hyderabad,41.5,66,14.5,0.0,72,Cloudy,Yes
Pune,33.4,77,10.7,2.6,34,Sunny,Yes
Delhi,32.6,52,25.9,0.6,29,Sunny,Yes
Pune,38.4,61,13.5,5.3,52,Rainy,No
Pune,33.3,74,24.0,1.3,43,Cloudy,No
Ahmedabad,30.3,37,16.0,4.0,45,Cloudy,No
Bengaluru,40.1,93,4.9,0.4,39,Sunny,No
Ahmedabad,28.3,76,18.9,3.7,68,Cloudy,No
Delhi,40.4,85,4.4,1.4,61,Cloudy,No
Jaipur,38.3,60,4.6,0.0,74,Cloudy,Yes
Jaipur,42.0,45,9.3,0.0,53,Cloudy,Yes
Chennai,30.2,78,11.1,0.6,84,Overcast,Yes
Delhi,35.8,38,20.8,2.6,42,Cloudy,No
Pune,24.1,86,22.4,1.2,56,Cloudy,No
Hyderabad,36.9,54,8.6,6.9,100,Rainy,No
Bengaluru,31.9,81,13.4,2.4,56,Cloudy,No
Kolkata,30.3,60,6.2,0.0,53,Cloudy,Yes
Mumbai,28.2,37,20.3,0.0,28,Sunny,Yes
Ahmedabad,35.8,39,15.3,1.2,48,Cloudy,No
Ahmedabad,30.8,69,20.7,0.9,36,Sunny,Yes
Ahmedabad,27.9,78,5.3,0.6,50,Cloudy,Yes
Delhi,38.8,73,15.7,1.8,62,Cloudy,No
Ahmedabad,20.4,41,12.0,0.0,41,Cloudy,Yes
Bengaluru,32.5,47,17.7,0.0,51,Cloudy,Yes
Pune,30.7,54,16.5,1.0,46,Cloudy,Yes
Bengaluru,38.3,98,5.5,10.2,100,Rainy,No
Lucknow,30.0,36,22.3,0.1,48,Cloudy,Yes
Lucknow,21.2,70,12.6,4.8,49,Cloudy,No
Bengaluru,34.0,75,15.8,1.3,90,Overcast,No
Jaipur,21.4,84,10.2,0.0,28,Sunny,Yes
Kolkata,23.4,47,7.7,0.7,57,Cloudy,Yes
Kolkata,29.7,62,22.3,2.6,41,Cloudy,No
Pune,34.5,97,9.2,6.3,80,Rainy,No
Hyderabad,24.6,88,3.9,0.0,36,Sunny,Yes
Chennai,31.0,94,3.8,3.3,67,Cloudy,No
Mumbai,24.5,44,12.0,3.1,25,Sunny,No
Delhi,30.1,77,23.3,0.0,45,Cloudy,Yes
Kolkata,36.1,76,10.9,0.0,29,Sunny,Yes
Bengaluru,31.4,91,9.7,0.9,32,Sunny,Yes
Jaipur,28.4,46,3.3,5.4,98,Rainy,No
Ahmedabad,34.4,88,17.1,1.3,48,Cloudy,No
Lucknow,37.5,76,19.0,0.9,81,Overcast,Yes
Jaipur,27.6,65,24.3,4.2,42,Cloudy,No
Lucknow,24.2,33,19.8,0.0,41,Cloudy,Yes
Lucknow,35.3,65,33.6,3.5,74,Cloudy,No
Jaipur,26.8,75,1.3,3.4,14,Sunny,No
Bengaluru,24.3,47,15.7,5.0,65,Rainy,No
Hyderabad,30.1,71,13.9,0.0,48,Cloudy,Yes
Chennai,27.7,67,16.2,1.4,70,Cloudy,Yes
Chennai,26.5,52,6.0,2.0,13,Sunny,Yes
Bengaluru,25.7,40,6.8,5.1,43,Rainy,No
Mumbai,38.2,81,5.3,0.0,98,Overcast,No
Kolkata,21.6,54,23.5,0.4,28,Sunny,Yes
Jaipur,25.2,88,13.8,3.0,48,Cloudy,No
Pune,29.5,39,19.8,1.8,56,Cloudy,Yes
Ahmedabad,32.6,89,14.5,2.3,0,Sunny,No
Delhi,27.8,39,32.9,0.2,50,Cloudy,Yes
Delhi,23.8,94,4.4,7.7,88,Rainy,No
Ahmedabad,27.6,44,22.4,0.7,21,Sunny,Yes
Hyderabad,26.6,44,8.2,0.0,49,Cloudy,Yes
Lucknow,27.9,80,13.3,1.4,45,Cloudy,Yes
Delhi,27.1,60,16.6,0.4,61,Cloudy,Yes
Kolkata,36.1,49,12.8,0.9,34,Sunny,Yes
Lucknow,25.3,93,8.0,0.6,33,Sunny,Yes
Lucknow,26.7,63,12.0,0.2,58,Cloudy,Yes
Hyderabad,23.6,61,7.7,0.7,36,Sunny,Yes
Chennai,38.0,87,24.4,0.7,68,Cloudy,No
Delhi,26.6,45,17.8,0.1,51,Cloudy,Yes
Kolkata,21.6,91,2.1,5.7,92,Rainy,No
Mumbai,33.0,62,15.0,0.0,45,Cloudy,Yes
Kolkata,26.4,65,11.6,2.0,88,Overcast,No
Bengaluru,36.6,48,7.1,0.0,33,Sunny,Yes
Jaipur,34.2,70,7.6,0.2,8,Sunny,Yes
Ahmedabad,32.1,31,15.8,0.0,64,Cloudy,Yes
Lucknow,29.4,74,3.2,1.5,33,Sunny,Yes
Mumbai,31.4,71,12.3,8.8,100,Rainy,No
Delhi,36.1,71,14.7,0.0,40,Cloudy,Yes
Bengaluru,32.0,38,16.8,3.9,58,Cloudy,No
Kolkata,26.6,53,27.2,0.9,57,Cloudy,Yes
Jaipur,26.9,31,22.1,4.1,88,Overcast,No
Chennai,36.9,67,6.8,3.1,28,Sunny,No
Lucknow,30.7,79,19.6,2.6,55,Cloudy,Yes
Hyderabad,29.4,92,20.5,0.0,11,Sunny,No
Jaipur,25.7,65,13.0,3.1,44,Cloudy,No
Lucknow,26.4,32,24.2,1.7,32,Sunny,No
Chennai,30.1,42,3.1,3.7,46,Cloudy,No
Mumbai,31.3,47,22.0,1.9,53,Cloudy,No
Hyderabad,30.7,46,8.5,0.0,45,Cloudy,Yes
Delhi,37.4,95,17.5,0.0,87,Overcast,No
Ahmedabad,33.5,44,16.4,0.3,50,Cloudy,Yes
Ahmedabad,25.5,42,3.3,5.1,97,Rainy,No
Kolkata,22.7,35,9.4,5.3,37,Rainy,No
Hyderabad,42.8,82,20.3,0.0,41,Cloudy,No
Kolkata,31.8,67,11.1,0.0,79,Overcast,Yes
Pune,35.3,51,6.8,4.5,96,Overcast,No
Ahmedabad,34.3,85,14.7,0.0,84,Overcast,Yes
Ahmedabad,18.9,37,27.6,0.0,37,Sunny,No
Jaipur,39.5,63,4.9,2.1,38,Sunny,No
Lucknow,33.8,82,8.6,0.0,32,Sunny,Yes
Chennai,29.2,68,16.0,0.0,50,Cloudy,Yes
Mumbai,30.5,82,8.7,1.9,59,Cloudy,No
Kolkata,33.9,37,4.1,0.0,59,Cloudy,Yes
Mumbai,34.2,53,11.8,2.5,41,Cloudy,Yes
Jaipur,24.0,86,12.2,7.0,93,Rainy,No
Jaipur,30.5,60,11.7,0.7,42,Cloudy,Yes
Hyderabad,40.1,57,10.5,3.8,74,Cloudy,No
Hyderabad,33.3,34,15.6,0.0,20,Sunny,Yes
Pune,21.9,47,14.5,0.0,58,Cloudy,Yes
Chennai,31.6,67,12.8,4.5,76,Overcast,No
Ahmedabad,25.4,48,12.1,3.6,68,Cloudy,No
Pune,22.2,82,9.9,0.0,7,Sunny,Yes
Jaipur,29.0,53,7.3,1.3,50,Cloudy,Yes
Kolkata,37.1,92,11.7,3.2,59,Cloudy,No
Pune,36.0,51,14.4,0.0,42,Cloudy,Yes
Kolkata,30.2,82,24.0,0.3,52,Cloudy,No
Jaipur,27.4,60,26.0,2.8,64,Cloudy,No
Bengaluru,31.0,69,5.6,5.4,73,Rainy,No
Jaipur,30.5,77,13.1,8.4,60,Rainy,No
Bengaluru,30.7,96,25.8,0.0,16,Sunny,No
Chennai,39.9,36,14.3,0.9,42,Cloudy,Yes
Kolkata,28.0,46,21.0,7.3,93,Rainy,No
Ahmedabad,18.5,88,10.5,3.1,95,Overcast,No
Jaipur,37.4,51,17.9,0.0,45,Cloudy,Yes
Chennai,28.3,69,12.1,0.0,58,Cloudy,Yes
Kolkata,39.2,86,17.3,0.0,56,Cloudy,No
Mumbai,24.1,42,31.7,0.0,31,Sunny,Yes
Delhi,34.9,63,29.3,0.0,6,Sunny,Yes
Jaipur,27.2,67,1.3,2.1,67,Cloudy,Yes
Chennai,26.9,34,13.4,0.5,38,Sunny,Yes
Hyderabad,31.6,62,26.5,10.1,100,Rainy,No
Bengaluru,29.5,40,23.4,4.5,73,Cloudy,No
Lucknow,19.4,32,32.2,2.0,79,Overcast,No
Ahmedabad,29.6,81,21.4,0.0,47,Cloudy,No
Chennai,33.7,84,9.9,0.0,41,Cloudy,Yes
Bengaluru,35.2,80,21.8,0.7,31,Sunny,No
Delhi,18.6,59,15.5,0.0,28,Sunny,Yes
Mumbai,31.0,79,4.4,0.0,57,Cloudy,Yes
Hyderabad,38.9,78,2.3,0.1,40,Cloudy,Yes
Jaipur,33.6,58,14.7,5.2,100,Rainy,No
Kolkata,29.9,87,1.6,1.0,47,Cloudy,No
Lucknow,26.4,64,16.1,3.8,100,Overcast,No
Pune,28.1,61,13.8,1.2,19,Sunny,Yes
Ahmedabad,24.4,52,3.6,0.2,31,Sunny,Yes
Chennai,29.1,82,16.2,4.4,80,Overcast,No
Jaipur,26.6,93,4.6,2.3,83,Overcast,No
Mumbai,27.0,89,26.3,0.0,28,Sunny,No
Bengaluru,26.9,88,3.7,2.5,62,Cloudy,No
Bengaluru,37.7,76,12.3,0.4,33,Sunny,Yes
Jaipur,28.3,48,21.4,0.7,78,Overcast,Yes
Ahmedabad,37.5,93,34.3,0.0,39,Sunny,No
Mumbai,35.3,76,17.8,0.7,78,Overcast,Yes
Hyderabad,28.8,70,5.6,7.7,99,Rainy,No
Chennai,38.2,94,6.1,4.3,56,Cloudy,No
Ahmedabad,33.5,87,5.5,0.4,48,Cloudy,Yes
Ahmedabad,25.0,67,26.8,0.2,40,Cloudy,Yes
Jaipur,25.2,90,10.4,0.0,53,Cloudy,Yes
Pune,24.1,71,11.7,5.7,100,Rainy,No
Jaipur,27.3,39,13.4,0.0,38,Sunny,Yes
Hyderabad,26.9,60,18.3,3.1,74,Cloudy,No
Jaipur,33.7,44,7.4,0.1,75,Overcast,Yes
Kolkata,34.4,56,12.3,0.0,57,Cloudy,Yes
Pune,37.3,45,11.7,0.0,64,Cloudy,Yes
Lucknow,29.9,62,20.2,0.0,53,Cloudy,Yes
Hyderabad,31.1,98,20.1,2.6,96,Overcast,No
Jaipur,32.5,59,33.2,2.9,65,Cloudy,No
Lucknow,31.6,34,15.5,2.9,55,Cloudy,Yes
Hyderabad,30.6,66,8.6,3.1,41,Cloudy,No
Delhi,31.3,88,27.5,0.7,100,Overcast,No
Hyderabad,19.8,70,11.6,2.6,88,Overcast,No
Chennai,33.9,62,20.7,1.0,47,Cloudy,No
Chennai,23.8,73,19.8,1.0,43,Cloudy,Yes
Pune,26.6,52,19.5,1.6,42,Cloudy,Yes
Hyderabad,18.5,84,5.0,0.0,13,Sunny,No
Hyderabad,20.6,40,8.4,0.0,37,Sunny,Yes
Pune,29.8,78,6.3,2.6,49,Cloudy,Yes
Pune,36.6,94,27.6,6.9,89,Rainy,No
Mumbai,31.3,39,11.1,2.8,40,Cloudy,Yes
Mumbai,27.1,93,9.5,1.5,84,Overcast,No
Kolkata,18.1,93,22.3,2.4,82,Overcast,No
Delhi,23.0,43,10.9,2.4,34,Sunny,Yes
Jaipur,25.9,56,31.6,2.4,44,Cloudy,No
Ahmedabad,29.5,43,3.7,2.1,78,Overcast,Yes
Jaipur,42.4,78,9.2,1.5,55,Cloudy,No
Ahmedabad,29.6,98,7.8,1.0,83,Overcast,No
Bengaluru,22.4,45,13.9,2.0,60,Cloudy,Yes
Ahmedabad,32.1,31,5.4,0.3,33,Sunny,Yes
Mumbai,37.5,51,12.9,0.0,45,Cloudy,Yes
Mumbai,26.1,87,8.7,0.5,47,Cloudy,Yes
Jaipur,24.2,37,15.6,7.0,100,Rainy,No
Bengaluru,32.9,83,7.1,1.6,46,Cloudy,No
Hyderabad,28.7,92,27.6,2.9,86,Overcast,No
Jaipur,26.5,67,19.6,1.5,76,Overcast,Yes
Mumbai,38.0,63,7.2,0.0,70,Cloudy,Yes
Lucknow,31.0,88,14.7,3.2,61,Cloudy,No
Hyderabad,36.4,53,13.9,1.5,59,Cloudy,No
Hyderabad,22.5,78,9.3,0.6,44,Cloudy,Yes
Ahmedabad,32.2,97,10.5,1.2,49,Cloudy,No
Bengaluru,32.5,86,7.9,2.3,100,Overcast,No
Bengaluru,26.6,70,29.1,1.2,99,Overcast,No
Ahmedabad,31.2,32,13.9,0.5,3,Sunny,Yes
Delhi,28.2,35,8.1,1.1,18,Sunny,Yes
Hyderabad,31.1,95,27.4,0.0,45,Cloudy,No
Kolkata,30.0,87,19.1,1.2,6,Sunny,No
Delhi,20.7,98,9.1,3.8,62,Cloudy,No
Hyderabad,33.5,77,18.4,1.5,75,Overcast,Yes
Kolkata,30.6,78,12.5,0.1,59,Cloudy,Yes
Lucknow,34.3,72,15.0,11.8,100,Rainy,No
Chennai,34.5,66,7.4,2.6,49,Cloudy,Yes
Mumbai,19.4,65,16.7,0.0,75,Overcast,Yes
Mumbai,37.1,85,19.2,0.0,43,Cloudy,No
Lucknow,32.6,40,18.7,3.2,89,Overcast,No
Bengaluru,37.6,39,4.7,4.6,49,Cloudy,No
Bengaluru,41.9,61,6.9,0.2,31,Sunny,Yes
Mumbai,33.8,53,19.5,0.8,56,Cloudy,Yes
Jaipur,38.9,47,20.1,0.8,55,Cloudy,No
Kolkata,32.4,82,26.7,0.0,15,Sunny,No
Kolkata,35.8,42,13.0,0.0,54,Cloudy,Yes
Chennai,23.8,79,24.5,4.5,73,Cloudy,No
Chennai,28.7,81,21.8,1.3,73,Cloudy,No
Chennai,25.4,31,6.2,0.8,62,Cloudy,Yes
Mumbai,25.8,83,21.2,0.0,31,Sunny,No
Jaipur,31.3,42,13.3,0.3,37,Sunny,Yes
Bengaluru,31.6,58,7.2,0.0,57,Cloudy,Yes
Delhi,40.1,97,3.1,0.9,28,Sunny,No
Pune,27.7,40,20.4,9.7,91,Rainy,No
Kolkata,34.4,73,14.8,10.2,100,Rainy,No
Lucknow,26.2,45,5.3,0.5,39,Sunny,Yes
Kolkata,18.8,63,11.5,0.0,50,Cloudy,Yes
Jaipur,30.2,95,11.0,5.5,96,Rainy,No
Bengaluru,30.9,76,10.1,0.0,58,Cloudy,Yes
Chennai,31.1,77,28.8,0.2,47,Cloudy,Yes
Kolkata,37.7,42,28.1,0.0,40,Cloudy,No
Bengaluru,39.7,85,3.5,0.4,31,Sunny,No
Mumbai,39.4,54,17.9,0.7,53,Cloudy,Yes
Mumbai,31.6,45,5.3,6.7,67,Rainy,No
Chennai,20.5,43,10.1,0.0,77,Overcast,Yes
Mumbai,29.6,46,12.0,2.5,62,Cloudy,Yes
Bengaluru,42.2,42,10.7,5.8,51,Rainy,No
Mumbai,35.4,66,18.1,1.8,45,Cloudy,No
Delhi,35.9,33,18.4,6.7,76,Rainy,No
Mumbai,34.0,30,9.4,2.6,81,Overcast,Yes
Kolkata,25.5,58,26.2,0.0,61,Cloudy,Yes
Delhi,24.7,85,3.4,1.1,50,Cloudy,No
Kolkata,34.1,87,19.8,0.0,44,Cloudy,Yes
Delhi,33.7,58,14.3,1.3,57,Cloudy,Yes
Bengaluru,29.5,59,4.5,0.1,44,Cloudy,Yes
Ahmedabad,28.8,57,14.5,11.8,100,Rainy,No
Lucknow,31.6,81,24.2,0.0,69,Cloudy,No
Ahmedabad,34.7,37,7.9,6.5,95,Rainy,No
Jaipur,29.9,64,29.2,0.3,73,Cloudy,Yes
Pune,20.6,52,23.9,0.0,28,Sunny,Yes
Hyderabad,29.3,82,20.8,5.8,100,Rainy,No
Hyderabad,20.9,53,10.8,0.0,37,Sunny,Yes
Kolkata,27.4,84,18.7,2.2,77,Overcast,No
Hyderabad,28.7,80,20.5,0.0,21,Sunny,Yes
Ahmedabad,16.4,56,16.7,0.7,56,Cloudy,Yes
Bengaluru,36.1,88,6.8,0.0,34,Sunny,No
Bengaluru,25.0,52,20.0,0.3,56,Cloudy,Yes
Pune,38.1,52,12.0,0.8,12,Sunny,Yes
Jaipur,27.0,39,26.9,3.6,73,Cloudy,No
Bengaluru,35.8,45,21.6,13.0,100,Rainy,No
Ahmedabad,25.3,93,9.7,4.5,82,Overcast,No
Delhi,33.6,51,25.6,0.7,42,Cloudy,Yes
Pune,31.0,30,3.7,0.1,35,Sunny,Yes
Hyderabad,38.9,57,17.7,4.6,63,Cloudy,No
Mumbai,19.1,62,11.3,16.9,100,Rainy,No
Ahmedabad,31.3,30,12.1,0.8,36,Sunny,Yes
Mumbai,34.6,68,18.2,0.0,69,Cloudy,Yes
Chennai,20.6,31,29.3,4.5,68,Cloudy,No
Ahmedabad,23.1,80,16.0,1.5,69,Cloudy,Yes
Pune,26.5,34,13.9,3.6,65,Cloudy,No
Ahmedabad,34.3,40,17.7,1.3,27,Sunny,Yes
